step,ram_gb,hmin,ndof,elapsed_seconds,ms_error
1,11.764289855957031,3.535533905932376,12100136,1221.8594682216644,1.0
2,12.83795166015625,3.535533905932376,12100136,2356.299147129059,0.624084841187517
3,14.376541137695312,3.535533905932376,12100136,3489.5187735557556,0.5426262376336343
4,14.7322998046875,3.535533905932376,12100136,4616.897133350372,0.4910351231043106
5,15.863750457763672,3.535533905932376,12100136,5704.042808771133,0.443087328286675
6,15.325199127197266,3.535533905932376,12100136,6799.8223922252655,0.39990906113131447
7,16.258041381835938,3.535533905932376,12100136,7831.965165615082,0.3612352993722374
8,13.174491882324219,3.535533905932376,12100136,8876.945063114166,0.3276997978102684
9,16.020896911621094,3.535533905932376,12100136,9927.95312333107,0.2994188329231781
10,14.969478607177734,3.535533905932376,12100136,11015.9998960495,0.2759351364541611
11,16.73233413696289,3.535533905932376,12100136,12101.318724155426,0.25590331806152716
12,16.11376190185547,3.535533905932376,12100136,13178.199840784073,0.23919315326600707
13,16.969512939453125,3.535533905932376,12100136,14267.976789474487,0.2244215402794947
14,16.508071899414062,3.535533905932376,12100136,15398.429422140121,0.2114465364067952
15,16.969512939453125,3.535533905932376,12100136,16467.698685646057,0.20025030408580702
16,16.508079528808594,3.535533905932376,12100136,17549.70104908943,0.1903716578386554
17,16.969520568847656,3.535533905932376,12100136,18679.794677734375,0.1816025311246134
18,16.508075714111328,3.535533905932376,12100136,19750.76711678505,0.1737882627360397
19,16.96951675415039,3.535533905932376,12100136,20778.475269317627,0.16648437485846515
20,16.96951675415039,3.535533905932376,12100136,21916.62325692177,0.16033162668839532
21,16.50808334350586,3.535533905932376,12100136,23034.49965596199,0.15455493164924228
22,16.11380386352539,3.535533905932376,12100136,24161.762233257294,0.14936308140596444
23,16.508087158203125,3.535533905932376,12100136,25240.298246860504,0.14484435958563996
24,16.508087158203125,3.535533905932376,12100136,26337.471760749817,0.14049898997119972
25,16.969554901123047,3.535533905932376,12100136,27455.04769229889,0.13659769574970512
26,16.508121490478516,3.535533905932376,12100136,28579.5619225502,0.1331355496469321
27,16.969562530517578,3.535533905932376,12100136,29650.635279417038,0.1299787099628716
28,16.50812530517578,3.535533905932376,12100136,30776.793584108353,0.12713532878578387
29,16.508121490478516,3.535533905932376,12100136,31847.93853378296,0.12469681793177302
30,16.50812530517578,3.535533905932376,12100136,32914.65619826317,0.1226335527128732
31,16.514514923095703,3.535533905932376,12100136,33975.58081150055,0.12086695287616449
32,16.50812530517578,3.535533905932376,12100136,34997.31343626976,0.12291850869941882
33,16.517452239990234,3.535533905932376,12100136,36075.43788075447,0.12856171662737012
34,16.517452239990234,3.535533905932376,12100136,37136.83144521713,0.10767004961374689
35,16.50812530517578,3.535533905932376,12100136,38283.5205552578,0.07682582734249452
36,16.508155822753906,3.535533905932376,12100136,39412.689734220505,0.05186931896788975
37,16.508159637451172,3.535533905932376,12100136,40593.32984614372,0.03369308218872536
38,16.96959686279297,3.535533905932376,12100136,41758.28191280365,0.021592954809576376
39,16.508155822753906,3.535533905932376,12100136,42922.934896469116,0.013575523632247042
40,16.969593048095703,3.535533905932376,12100136,44004.19357395172,0.008543609744195026
41,17.325313568115234,3.535533905932376,12100136,45090.826176166534,0.005964846565351467
42,16.508155822753906,3.535533905932376,12100136,46287.449203014374,0.003281392468134765
43,16.96959686279297,3.535533905932376,12100136,47434.867703676224,0.001745804325365538
44,17.719600677490234,3.535533905932376,12100136,48612.90969514847,0.0009184904601618647
45,16.508159637451172,3.535533905932376,12100136,49794.33133029938,0.0005417633429435012
46,16.969600677490234,3.535533905932376,12100136,50971.736595630646,0.000358676771342018
47,16.508159637451172,3.535533905932376,12100136,52153.39578771591,0.0001797747534722248
48,16.969635009765625,3.535533905932376,12100136,53328.33060312271,0.0001577521806102935
49,16.508193969726562,3.535533905932376,12100136,54508.67566823959,9.610959540813208e-05
